checking_balance,months_loan_duration,credit_history,purpose,savings_balance,employment_length,residence_history,property,housing,existing_credits,default
< 0 DM,<=12,repaid,furniture,< 100 DM,1 - 4 yrs,1,building society savings,own,1,No
< 0 DM,<=22,repaid,domestic appliances,< 100 DM,1 - 4 yrs,3,real estate,own,1,Yes
< 0 DM,<=12,critical,furniture,< 100 DM,> 7 yrs,3,building society savings,own,2,Yes
< 0 DM,<=12,critical,radio/tv,< 100 DM,4 - 7 yrs,3,real estate,own,4,No
1 - 200 DM,<=27,delayed,car (new),unknown,1 - 4 yrs,4,other,rent,2,No
unknown,<=22,repaid,business,> 1000 DM,> 7 yrs,4,real estate,own,1,No
1 - 200 DM,<=27,repaid,car (new),< 100 DM,1 - 4 yrs,4,building society savings,rent,1,Yes
< 0 DM,<=27,fully repaid this bank,others,unknown,> 7 yrs,3,other,own,1,Yes
1 - 200 DM,<=12,fully repaid this bank,car (new),101 - 500 DM,0 - 1 yrs,1,building society savings,own,1,Yes
< 0 DM,<=27,repaid,car (new),< 100 DM,4 - 7 yrs,4,other,rent,2,Yes
1 - 200 DM,<=27,fully repaid,business,< 100 DM,1 - 4 yrs,4,real estate,own,3,Yes
unknown,<=22,critical,car (new),< 100 DM,4 - 7 yrs,2,building society savings,own,2,Yes
unknown,<=27,delayed,business,< 100 DM,1 - 4 yrs,2,unknown/none,for free,1,No
1 - 200 DM,<=12,repaid,radio/tv,< 100 DM,0 - 1 yrs,1,real estate,own,1,No
1 - 200 DM,<=12,repaid,furniture,< 100 DM,1 - 4 yrs,1,building society savings,own,1,Yes
1 - 200 DM,<=27,fully repaid this bank,education,< 100 DM,4 - 7 yrs,4,unknown/none,for free,1,Yes
unknown,<=42,repaid,furniture,< 100 DM,1 - 4 yrs,2,other,own,1,Yes
> 200 DM,<=12,repaid,furniture,< 100 DM,0 - 1 yrs,2,building society savings,own,1,No
< 0 DM,<=27,fully repaid this bank,furniture,501 - 1000 DM,1 - 4 yrs,4,real estate,own,1,No
unknown,<=27,critical,business,< 100 DM,1 - 4 yrs,2,real estate,own,1,No
1 - 200 DM,<=42,repaid,radio/tv,101 - 500 DM,1 - 4 yrs,4,unknown/none,for free,1,Yes
unknown,<=22,repaid,radio/tv,< 100 DM,0 - 1 yrs,1,real estate,own,1,No
unknown,<=15,repaid,car (used),unknown,> 7 yrs,4,unknown/none,for free,1,No
< 0 DM,<=12,repaid,domestic appliances,101 - 500 DM,unemployed,3,building society savings,own,1,Yes
> 200 DM,<=12,repaid,car (new),101 - 500 DM,> 7 yrs,4,unknown/none,for free,1,Yes
< 0 DM,<=22,repaid,radio/tv,> 1000 DM,0 - 1 yrs,2,other,own,1,No
< 0 DM,<=27,fully repaid this bank,car (used),< 100 DM,1 - 4 yrs,4,other,rent,1,No
unknown,<=22,delayed,furniture,< 100 DM,4 - 7 yrs,1,real estate,own,1,Yes
1 - 200 DM,>42,fully repaid,business,unknown,1 - 4 yrs,2,other,own,1,No
1 - 200 DM,>42,delayed,radio/tv,unknown,1 - 4 yrs,2,unknown/none,for free,1,No
< 0 DM,<=12,critical,car (new),< 100 DM,1 - 4 yrs,3,real estate,rent,3,No
1 - 200 DM,<=42,repaid,furniture,101 - 500 DM,1 - 4 yrs,4,other,rent,1,Yes
unknown,<=12,repaid,car (new),< 100 DM,1 - 4 yrs,2,real estate,own,1,No
1 - 200 DM,<=22,critical,business,< 100 DM,4 - 7 yrs,3,building society savings,own,2,No
unknown,<=22,critical,car (new),< 100 DM,1 - 4 yrs,2,building society savings,own,2,Yes
unknown,>42,repaid,business,unknown,1 - 4 yrs,2,real estate,own,1,Yes
< 0 DM,<=12,repaid,furniture,< 100 DM,0 - 1 yrs,1,other,rent,1,No
< 0 DM,<=22,repaid,radio/tv,< 100 DM,1 - 4 yrs,4,unknown/none,for free,2,Yes
unknown,<=15,repaid,radio/tv,unknown,> 7 yrs,2,other,own,1,No
> 200 DM,<=12,repaid,furniture,< 100 DM,1 - 4 yrs,2,real estate,own,1,No
1 - 200 DM,<=12,fully repaid this bank,car (new),101 - 500 DM,4 - 7 yrs,3,unknown/none,own,1,Yes
unknown,<=42,critical,furniture,501 - 1000 DM,1 - 4 yrs,4,real estate,own,2,No
unknown,<=12,repaid,education,unknown,> 7 yrs,4,real estate,own,1,No
< 0 DM,<=27,repaid,radio/tv,< 100 DM,1 - 4 yrs,4,other,own,1,No
< 0 DM,<=22,fully repaid this bank,furniture,< 100 DM,1 - 4 yrs,3,other,own,1,Yes
1 - 200 DM,<=15,repaid,radio/tv,unknown,0 - 1 yrs,1,building society savings,own,1,No
unknown,<=12,repaid,furniture,< 100 DM,0 - 1 yrs,2,other,rent,2,Yes
1 - 200 DM,<=27,repaid,car (new),< 100 DM,0 - 1 yrs,4,other,own,1,Yes
unknown,<=12,repaid,education,< 100 DM,> 7 yrs,4,building society savings,own,3,No
unknown,<=27,repaid,radio/tv,501 - 1000 DM,4 - 7 yrs,1,other,own,1,No
unknown,>42,delayed,radio/tv,< 100 DM,4 - 7 yrs,4,other,own,2,No
unknown,<=12,repaid,radio/tv,< 100 DM,0 - 1 yrs,3,other,own,1,No
< 0 DM,<=42,delayed,radio/tv,< 100 DM,4 - 7 yrs,2,building society savings,own,2,Yes
< 0 DM,<=22,repaid,education,< 100 DM,unemployed,1,real estate,own,1,Yes
1 - 200 DM,<=15,repaid,repairs,< 100 DM,> 7 yrs,4,other,own,2,No
unknown,<=15,repaid,education,101 - 500 DM,1 - 4 yrs,2,building society savings,own,1,Yes
unknown,<=27,critical,radio/tv,< 100 DM,4 - 7 yrs,2,other,own,2,No
< 0 DM,<=22,critical,radio/tv,< 100 DM,4 - 7 yrs,1,building society savings,own,2,No
unknown,<=42,delayed,business,unknown,0 - 1 yrs,4,other,rent,2,Yes
< 0 DM,<=42,fully repaid,furniture,< 100 DM,1 - 4 yrs,2,real estate,own,2,No
unknown,<=12,repaid,car (new),501 - 1000 DM,1 - 4 yrs,2,building society savings,own,1,Yes
> 200 DM,<=27,repaid,car (new),< 100 DM,4 - 7 yrs,3,unknown/none,for free,1,Yes
< 0 DM,<=12,repaid,education,< 100 DM,1 - 4 yrs,4,other,rent,1,Yes
< 0 DM,>42,repaid,education,< 100 DM,4 - 7 yrs,1,unknown/none,for free,1,No
1 - 200 DM,<=12,repaid,furniture,< 100 DM,1 - 4 yrs,2,building society savings,own,1,Yes
< 0 DM,<=27,repaid,car (new),< 100 DM,> 7 yrs,1,real estate,own,1,Yes
1 - 200 DM,<=42,delayed,car (new),101 - 500 DM,> 7 yrs,4,other,own,4,Yes
unknown,<=27,critical,car (used),< 100 DM,4 - 7 yrs,3,other,own,2,No
< 0 DM,<=15,repaid,car (new),< 100 DM,unemployed,4,unknown/none,for free,1,No
1 - 200 DM,<=12,repaid,car (new),< 100 DM,> 7 yrs,4,other,own,1,Yes
unknown,>42,repaid,radio/tv,unknown,4 - 7 yrs,3,other,own,1,No
1 - 200 DM,<=42,fully repaid,business,< 100 DM,1 - 4 yrs,1,other,own,2,No
1 - 200 DM,<=22,critical,furniture,< 100 DM,> 7 yrs,1,unknown/none,own,1,No
> 200 DM,<=12,repaid,radio/tv,< 100 DM,1 - 4 yrs,4,real estate,rent,1,No
< 0 DM,<=12,repaid,car (new),unknown,1 - 4 yrs,2,other,own,1,Yes
unknown,<=22,repaid,furniture,< 100 DM,> 7 yrs,2,real estate,own,2,No
1 - 200 DM,<=12,delayed,furniture,< 100 DM,unemployed,1,building society savings,own,2,No
> 200 DM,<=12,critical,education,< 100 DM,1 - 4 yrs,4,building society savings,own,1,No
unknown,<=27,critical,others,< 100 DM,unemployed,2,unknown/none,own,2,No
1 - 200 DM,<=42,fully repaid this bank,furniture,> 1000 DM,1 - 4 yrs,2,other,own,1,No
unknown,>42,fully repaid this bank,business,< 100 DM,1 - 4 yrs,1,real estate,own,1,No
< 0 DM,<=12,critical,car (new),< 100 DM,> 7 yrs,4,building society savings,rent,2,Yes
> 200 DM,<=42,critical,radio/tv,< 100 DM,> 7 yrs,4,building society savings,own,1,No
unknown,<=27,critical,business,101 - 500 DM,1 - 4 yrs,3,building society savings,own,2,No
unknown,<=42,repaid,business,101 - 500 DM,4 - 7 yrs,2,other,own,2,No
unknown,>42,repaid,car (new),< 100 DM,> 7 yrs,4,building society savings,own,1,No
unknown,<=12,critical,car (new),501 - 1000 DM,1 - 4 yrs,2,other,own,1,No
unknown,<=22,delayed,business,501 - 1000 DM,0 - 1 yrs,2,real estate,own,1,Yes
unknown,<=42,critical,radio/tv,< 100 DM,4 - 7 yrs,4,other,rent,1,No
unknown,<=27,critical,furniture,< 100 DM,> 7 yrs,4,other,own,1,No
1 - 200 DM,>42,repaid,radio/tv,101 - 500 DM,1 - 4 yrs,2,other,own,1,Yes
< 0 DM,<=27,repaid,radio/tv,< 100 DM,> 7 yrs,4,real estate,rent,1,No
unknown,<=22,repaid,radio/tv,< 100 DM,0 - 1 yrs,1,real estate,own,1,No
unknown,<=12,repaid,education,< 100 DM,0 - 1 yrs,2,unknown/none,own,1,No
unknown,<=12,repaid,radio/tv,unknown,1 - 4 yrs,4,unknown/none,for free,1,No
unknown,<=15,delayed,radio/tv,< 100 DM,1 - 4 yrs,3,real estate,own,2,No
unknown,<=27,critical,radio/tv,< 100 DM,0 - 1 yrs,3,unknown/none,for free,3,No
1 - 200 DM,<=42,delayed,business,101 - 500 DM,4 - 7 yrs,3,building society savings,own,2,No
unknown,>42,repaid,car (new),unknown,1 - 4 yrs,4,unknown/none,for free,1,No
> 200 DM,<=12,critical,radio/tv,unknown,4 - 7 yrs,2,building society savings,own,2,No
1 - 200 DM,<=42,delayed,car (new),101 - 500 DM,> 7 yrs,3,unknown/none,for free,1,No
unknown,<=12,repaid,radio/tv,101 - 500 DM,> 7 yrs,4,other,own,1,No
< 0 DM,<=12,repaid,car (new),> 1000 DM,1 - 4 yrs,3,building society savings,own,1,No
< 0 DM,<=15,critical,furniture,< 100 DM,1 - 4 yrs,3,building society savings,own,2,No
1 - 200 DM,<=15,repaid,repairs,101 - 500 DM,1 - 4 yrs,2,real estate,own,1,No
1 - 200 DM,<=27,repaid,radio/tv,101 - 500 DM,0 - 1 yrs,1,other,own,1,No
< 0 DM,<=12,critical,car (new),unknown,0 - 1 yrs,3,real estate,own,2,No
unknown,<=27,repaid,radio/tv,< 100 DM,4 - 7 yrs,2,other,own,1,No
unknown,<=12,repaid,car (used),501 - 1000 DM,1 - 4 yrs,4,building society savings,rent,1,No
1 - 200 DM,<=12,repaid,radio/tv,< 100 DM,4 - 7 yrs,3,real estate,own,2,No
unknown,<=12,critical,car (new),< 100 DM,unemployed,2,building society savings,own,1,No
unknown,<=22,critical,radio/tv,< 100 DM,1 - 4 yrs,2,other,own,2,No
> 200 DM,<=15,repaid,education,< 100 DM,> 7 yrs,4,other,rent,1,No
unknown,<=12,repaid,furniture,501 - 1000 DM,1 - 4 yrs,4,other,rent,1,Yes
< 0 DM,>42,critical,car (used),< 100 DM,> 7 yrs,4,unknown/none,for free,2,Yes
> 200 DM,<=27,repaid,radio/tv,101 - 500 DM,> 7 yrs,2,unknown/none,for free,1,No
1 - 200 DM,<=42,delayed,business,101 - 500 DM,> 7 yrs,2,building society savings,own,2,No
1 - 200 DM,<=27,repaid,business,< 100 DM,0 - 1 yrs,1,building society savings,own,1,No
unknown,<=15,repaid,car (new),501 - 1000 DM,> 7 yrs,4,unknown/none,for free,1,No
1 - 200 DM,>42,repaid,car (new),101 - 500 DM,4 - 7 yrs,2,building society savings,own,1,Yes
1 - 200 DM,<=12,fully repaid,furniture,< 100 DM,0 - 1 yrs,3,building society savings,rent,2,Yes
1 - 200 DM,<=12,repaid,radio/tv,< 100 DM,> 7 yrs,4,real estate,own,1,No
1 - 200 DM,<=12,repaid,radio/tv,< 100 DM,1 - 4 yrs,2,real estate,own,1,No
unknown,<=22,critical,radio/tv,501 - 1000 DM,> 7 yrs,3,building society savings,own,2,No
< 0 DM,<=12,fully repaid this bank,education,< 100 DM,> 7 yrs,4,unknown/none,for free,1,Yes
unknown,<=22,repaid,car (used),unknown,> 7 yrs,4,real estate,own,1,No
< 0 DM,<=12,critical,radio/tv,< 100 DM,1 - 4 yrs,4,real estate,own,2,No
1 - 200 DM,>42,repaid,car (new),< 100 DM,4 - 7 yrs,2,unknown/none,own,1,Yes
unknown,<=42,critical,car (used),unknown,> 7 yrs,4,other,own,2,No
unknown,<=42,critical,radio/tv,unknown,> 7 yrs,2,other,own,2,No
unknown,<=22,repaid,radio/tv,< 100 DM,1 - 4 yrs,2,unknown/none,for free,1,No
> 200 DM,<=27,critical,radio/tv,unknown,1 - 4 yrs,2,other,own,2,No
1 - 200 DM,<=22,fully repaid,car (used),101 - 500 DM,> 7 yrs,4,other,own,2,No
> 200 DM,<=12,fully repaid,radio/tv,< 100 DM,0 - 1 yrs,2,other,own,2,Yes
1 - 200 DM,<=12,fully repaid this bank,education,> 1000 DM,0 - 1 yrs,2,building society savings,rent,1,Yes
< 0 DM,<=12,repaid,car (new),< 100 DM,1 - 4 yrs,2,real estate,own,1,Yes
1 - 200 DM,<=12,repaid,radio/tv,501 - 1000 DM,1 - 4 yrs,3,real estate,own,1,No
unknown,<=27,repaid,car (new),< 100 DM,1 - 4 yrs,3,real estate,rent,1,Yes
unknown,<=12,critical,car (new),> 1000 DM,1 - 4 yrs,2,real estate,own,2,No
unknown,<=15,critical,radio/tv,501 - 1000 DM,1 - 4 yrs,2,building society savings,own,2,No
< 0 DM,<=22,repaid,radio/tv,< 100 DM,1 - 4 yrs,4,other,rent,2,Yes
1 - 200 DM,>42,fully repaid this bank,business,< 100 DM,> 7 yrs,3,unknown/none,rent,1,Yes
> 200 DM,<=27,critical,business,> 1000 DM,1 - 4 yrs,4,real estate,own,2,No
1 - 200 DM,<=27,delayed,radio/tv,< 100 DM,0 - 1 yrs,2,other,own,1,No
< 0 DM,<=27,repaid,radio/tv,< 100 DM,1 - 4 yrs,4,real estate,rent,1,Yes
1 - 200 DM,<=12,repaid,radio/tv,< 100 DM,4 - 7 yrs,2,real estate,own,1,No
unknown,<=27,repaid,car (used),> 1000 DM,1 - 4 yrs,4,other,rent,1,No
unknown,<=12,critical,car (new),< 100 DM,4 - 7 yrs,1,real estate,own,1,No
1 - 200 DM,<=42,fully repaid this bank,domestic appliances,unknown,0 - 1 yrs,2,unknown/none,own,1,No
1 - 200 DM,<=27,repaid,car (used),< 100 DM,1 - 4 yrs,4,other,rent,2,Yes
< 0 DM,<=22,repaid,car (new),101 - 500 DM,1 - 4 yrs,4,other,own,1,No
unknown,<=12,critical,car (new),< 100 DM,4 - 7 yrs,3,unknown/none,own,2,No
1 - 200 DM,<=42,fully repaid,business,101 - 500 DM,1 - 4 yrs,4,other,rent,2,Yes
< 0 DM,<=27,fully repaid this bank,car (new),101 - 500 DM,4 - 7 yrs,3,other,own,1,No
1 - 200 DM,<=12,fully repaid this bank,radio/tv,< 100 DM,1 - 4 yrs,4,real estate,own,1,No
unknown,<=22,repaid,radio/tv,unknown,> 7 yrs,3,building society savings,own,1,No
< 0 DM,<=27,fully repaid this bank,furniture,501 - 1000 DM,1 - 4 yrs,4,real estate,own,1,No
< 0 DM,<=42,critical,furniture,unknown,4 - 7 yrs,4,building society savings,own,2,No
< 0 DM,<=15,critical,business,< 100 DM,0 - 1 yrs,1,building society savings,own,2,No
< 0 DM,<=15,repaid,car (new),< 100 DM,unemployed,4,other,rent,1,No
< 0 DM,<=12,repaid,car (new),< 100 DM,0 - 1 yrs,1,real estate,own,1,Yes
unknown,<=22,repaid,car (used),unknown,1 - 4 yrs,3,other,own,1,No
unknown,<=15,repaid,car (used),< 100 DM,4 - 7 yrs,2,other,own,1,No
< 0 DM,<=12,repaid,furniture,< 100 DM,> 7 yrs,1,building society savings,own,1,No
< 0 DM,<=22,repaid,car (new),< 100 DM,0 - 1 yrs,2,other,own,1,Yes
1 - 200 DM,<=12,repaid,business,101 - 500 DM,4 - 7 yrs,4,real estate,rent,1,No
unknown,<=42,critical,radio/tv,< 100 DM,4 - 7 yrs,2,other,own,2,No
unknown,<=12,delayed,repairs,> 1000 DM,> 7 yrs,4,unknown/none,for free,2,Yes
< 0 DM,<=27,repaid,car (new),unknown,4 - 7 yrs,4,unknown/none,rent,1,Yes
> 200 DM,<=12,critical,car (new),< 100 DM,1 - 4 yrs,1,real estate,own,3,No
> 200 DM,<=15,critical,radio/tv,unknown,1 - 4 yrs,4,unknown/none,for free,2,Yes
unknown,<=27,repaid,car (new),< 100 DM,1 - 4 yrs,2,real estate,own,1,No
< 0 DM,<=12,critical,car (new),< 100 DM,> 7 yrs,3,building society savings,own,2,Yes
unknown,<=15,critical,car (new),unknown,> 7 yrs,4,other,own,1,No
< 0 DM,<=22,critical,furniture,< 100 DM,1 - 4 yrs,4,real estate,rent,2,Yes
< 0 DM,<=12,repaid,radio/tv,< 100 DM,1 - 4 yrs,3,building society savings,own,1,No
unknown,<=22,critical,car (new),unknown,> 7 yrs,4,unknown/none,for free,1,Yes
unknown,<=27,critical,car (new),101 - 500 DM,4 - 7 yrs,3,building society savings,own,2,No
1 - 200 DM,<=12,repaid,radio/tv,< 100 DM,> 7 yrs,3,real estate,own,2,No
< 0 DM,<=42,repaid,furniture,< 100 DM,0 - 1 yrs,4,building society savings,own,1,Yes
unknown,<=12,repaid,car (used),unknown,0 - 1 yrs,4,real estate,rent,1,No
1 - 200 DM,<=12,critical,furniture,< 100 DM,> 7 yrs,4,other,rent,3,No
unknown,<=12,critical,radio/tv,< 100 DM,> 7 yrs,4,real estate,own,2,No
< 0 DM,<=27,repaid,car (used),unknown,> 7 yrs,4,real estate,rent,1,No
< 0 DM,<=42,critical,education,< 100 DM,1 - 4 yrs,2,unknown/none,own,2,Yes
unknown,<=22,critical,car (used),< 100 DM,> 7 yrs,4,other,own,1,No
unknown,<=27,critical,radio/tv,101 - 500 DM,> 7 yrs,4,building society savings,own,2,No
> 200 DM,<=12,critical,car (new),501 - 1000 DM,unemployed,4,unknown/none,for free,3,No
< 0 DM,<=27,repaid,car (new),unknown,1 - 4 yrs,4,real estate,rent,1,Yes
unknown,<=42,critical,car (new),< 100 DM,4 - 7 yrs,4,other,own,2,No
< 0 DM,<=22,repaid,radio/tv,< 100 DM,4 - 7 yrs,1,real estate,own,1,No
unknown,<=42,critical,car (used),> 1000 DM,> 7 yrs,2,other,own,2,No
1 - 200 DM,<=22,repaid,repairs,< 100 DM,unemployed,4,other,own,1,No
1 - 200 DM,<=42,critical,radio/tv,< 100 DM,4 - 7 yrs,2,real estate,own,2,Yes
unknown,<=27,critical,car (new),> 1000 DM,> 7 yrs,4,real estate,own,1,No
1 - 200 DM,<=12,fully repaid,retraining,< 100 DM,1 - 4 yrs,2,real estate,own,1,No
1 - 200 DM,<=12,repaid,car (new),101 - 500 DM,0 - 1 yrs,2,building society savings,own,1,Yes
1 - 200 DM,<=22,repaid,car (used),unknown,unemployed,4,real estate,own,1,No
1 - 200 DM,<=22,repaid,business,> 1000 DM,1 - 4 yrs,2,building society savings,own,1,No
unknown,<=22,repaid,radio/tv,501 - 1000 DM,> 7 yrs,4,other,own,1,No
unknown,>42,critical,car (used),unknown,> 7 yrs,3,other,own,2,No
1 - 200 DM,>42,delayed,education,< 100 DM,> 7 yrs,4,unknown/none,for free,1,Yes
< 0 DM,<=42,critical,education,< 100 DM,1 - 4 yrs,3,unknown/none,own,1,Yes
1 - 200 DM,<=22,repaid,business,< 100 DM,> 7 yrs,4,building society savings,own,1,Yes
unknown,<=27,repaid,car (used),unknown,> 7 yrs,4,other,own,1,No
unknown,<=12,critical,furniture,unknown,1 - 4 yrs,2,building society savings,own,2,No
> 200 DM,<=27,repaid,furniture,< 100 DM,> 7 yrs,4,unknown/none,for free,1,No
unknown,<=27,repaid,furniture,501 - 1000 DM,> 7 yrs,3,unknown/none,rent,1,No
unknown,<=12,repaid,furniture,101 - 500 DM,0 - 1 yrs,4,building society savings,rent,1,No
< 0 DM,<=22,repaid,car (used),unknown,> 7 yrs,4,building society savings,for free,1,Yes
unknown,<=12,critical,furniture,< 100 DM,0 - 1 yrs,4,building society savings,rent,2,No
unknown,<=27,delayed,car (new),unknown,> 7 yrs,4,other,own,2,No
1 - 200 DM,<=12,repaid,car (new),unknown,0 - 1 yrs,2,real estate,own,1,No
unknown,<=27,critical,education,< 100 DM,> 7 yrs,4,unknown/none,for free,2,No
1 - 200 DM,<=22,critical,radio/tv,< 100 DM,> 7 yrs,4,real estate,rent,2,No
< 0 DM,<=22,critical,furniture,< 100 DM,> 7 yrs,4,building society savings,own,2,No
unknown,<=12,critical,radio/tv,unknown,> 7 yrs,4,other,own,2,No
1 - 200 DM,<=12,repaid,car (new),unknown,unemployed,2,real estate,rent,1,No
< 0 DM,<=42,repaid,car (new),< 100 DM,4 - 7 yrs,1,other,own,1,Yes
1 - 200 DM,<=12,repaid,radio/tv,< 100 DM,0 - 1 yrs,3,real estate,own,1,No
unknown,<=12,critical,radio/tv,unknown,> 7 yrs,4,real estate,own,4,No
1 - 200 DM,<=42,fully repaid this bank,car (used),< 100 DM,unemployed,2,unknown/none,for free,1,No
1 - 200 DM,<=15,fully repaid,car (new),< 100 DM,0 - 1 yrs,1,real estate,rent,2,Yes
1 - 200 DM,<=12,repaid,business,< 100 DM,0 - 1 yrs,2,real estate,own,1,No
1 - 200 DM,<=12,repaid,radio/tv,< 100 DM,4 - 7 yrs,3,real estate,own,1,No
< 0 DM,<=42,critical,car (used),< 100 DM,4 - 7 yrs,4,other,own,2,Yes
< 0 DM,>42,repaid,domestic appliances,< 100 DM,1 - 4 yrs,4,other,own,1,Yes
< 0 DM,>42,repaid,car (new),< 100 DM,4 - 7 yrs,4,unknown/none,for free,1,Yes
1 - 200 DM,<=42,delayed,car (new),< 100 DM,1 - 4 yrs,2,building society savings,rent,1,No
unknown,<=12,repaid,domestic appliances,501 - 1000 DM,1 - 4 yrs,4,real estate,own,1,No
unknown,<=12,critical,radio/tv,< 100 DM,4 - 7 yrs,2,other,rent,2,No
< 0 DM,<=42,repaid,others,< 100 DM,unemployed,3,other,own,1,No
< 0 DM,<=22,repaid,radio/tv,< 100 DM,1 - 4 yrs,3,real estate,own,1,Yes
unknown,<=12,repaid,car (new),< 100 DM,1 - 4 yrs,2,real estate,own,2,No
> 200 DM,<=12,repaid,radio/tv,< 100 DM,1 - 4 yrs,1,other,own,1,No
< 0 DM,<=42,repaid,furniture,< 100 DM,> 7 yrs,2,building society savings,own,1,Yes
< 0 DM,<=12,critical,car (new),< 100 DM,> 7 yrs,4,real estate,own,2,No
unknown,<=22,critical,furniture,< 100 DM,0 - 1 yrs,2,other,own,2,No
< 0 DM,<=22,critical,car (new),< 100 DM,> 7 yrs,3,other,own,2,No
< 0 DM,<=22,critical,car (new),< 100 DM,> 7 yrs,4,real estate,rent,3,Yes
unknown,<=22,fully repaid,business,< 100 DM,1 - 4 yrs,2,other,own,2,Yes
< 0 DM,<=42,repaid,car (used),unknown,> 7 yrs,4,unknown/none,for free,1,Yes
1 - 200 DM,>42,delayed,business,unknown,1 - 4 yrs,4,unknown/none,for free,1,No
unknown,<=27,delayed,business,501 - 1000 DM,1 - 4 yrs,2,other,own,2,No
< 0 DM,<=22,repaid,car (new),< 100 DM,0 - 1 yrs,3,other,rent,1,Yes
< 0 DM,>42,fully repaid,business,< 100 DM,> 7 yrs,4,other,rent,2,Yes
1 - 200 DM,<=27,repaid,radio/tv,unknown,> 7 yrs,4,other,own,1,No
> 200 DM,<=15,repaid,radio/tv,< 100 DM,0 - 1 yrs,3,real estate,own,1,Yes
< 0 DM,<=12,fully repaid,car (new),< 100 DM,1 - 4 yrs,4,other,own,2,Yes
unknown,<=12,repaid,radio/tv,unknown,1 - 4 yrs,2,other,own,1,No
unknown,<=12,repaid,furniture,< 100 DM,0 - 1 yrs,3,real estate,rent,1,No
< 0 DM,<=27,critical,car (used),< 100 DM,> 7 yrs,4,building society savings,own,2,No
unknown,<=27,critical,radio/tv,< 100 DM,> 7 yrs,3,real estate,own,2,No
< 0 DM,<=42,repaid,furniture,< 100 DM,4 - 7 yrs,2,building society savings,own,1,Yes
unknown,<=22,delayed,car (used),< 100 DM,1 - 4 yrs,2,real estate,own,2,No
unknown,<=22,repaid,repairs,< 100 DM,0 - 1 yrs,4,real estate,own,1,Yes
unknown,<=27,fully repaid this bank,business,< 100 DM,4 - 7 yrs,4,other,own,1,No
unknown,<=22,repaid,furniture,< 100 DM,> 7 yrs,4,building society savings,own,3,No
1 - 200 DM,<=22,repaid,furniture,unknown,4 - 7 yrs,3,other,own,1,No
unknown,<=22,repaid,car (new),unknown,1 - 4 yrs,4,other,rent,2,Yes
unknown,<=27,repaid,car (new),< 100 DM,0 - 1 yrs,2,real estate,own,1,No
< 0 DM,<=12,repaid,radio/tv,< 100 DM,4 - 7 yrs,4,real estate,own,1,No
< 0 DM,<=12,repaid,radio/tv,< 100 DM,> 7 yrs,4,real estate,own,1,Yes
< 0 DM,<=22,critical,car (new),< 100 DM,1 - 4 yrs,2,building society savings,rent,2,Yes
unknown,<=27,critical,car (used),unknown,4 - 7 yrs,4,building society savings,own,2,No
unknown,<=15,critical,radio/tv,< 100 DM,1 - 4 yrs,4,unknown/none,for free,2,No
< 0 DM,<=22,fully repaid this bank,car (new),< 100 DM,4 - 7 yrs,4,unknown/none,for free,2,Yes
unknown,<=42,delayed,car (new),< 100 DM,> 7 yrs,2,other,own,2,No
unknown,<=27,repaid,car (new),101 - 500 DM,0 - 1 yrs,3,real estate,own,1,No
unknown,<=12,repaid,retraining,unknown,4 - 7 yrs,3,building society savings,own,1,No
unknown,<=15,critical,furniture,< 100 DM,1 - 4 yrs,2,unknown/none,for free,1,No
< 0 DM,<=15,repaid,car (new),< 100 DM,1 - 4 yrs,2,building society savings,own,1,Yes
unknown,<=12,repaid,car (new),101 - 500 DM,1 - 4 yrs,2,real estate,rent,1,No
unknown,<=27,critical,car (used),> 1000 DM,1 - 4 yrs,2,real estate,own,2,No
unknown,<=22,delayed,business,< 100 DM,1 - 4 yrs,2,other,own,1,Yes
< 0 DM,<=27,repaid,radio/tv,< 100 DM,0 - 1 yrs,4,real estate,own,1,Yes
unknown,<=27,critical,furniture,> 1000 DM,0 - 1 yrs,2,real estate,own,2,No
unknown,<=12,repaid,furniture,< 100 DM,1 - 4 yrs,2,real estate,rent,1,Yes
unknown,<=15,repaid,furniture,501 - 1000 DM,1 - 4 yrs,4,other,rent,1,No
< 0 DM,<=22,repaid,radio/tv,< 100 DM,0 - 1 yrs,1,other,own,1,No
unknown,<=12,critical,furniture,< 100 DM,> 7 yrs,4,building society savings,own,1,No
unknown,<=42,repaid,business,unknown,> 7 yrs,2,building society savings,own,2,No
< 0 DM,<=12,repaid,furniture,< 100 DM,> 7 yrs,4,building society savings,rent,1,No
unknown,<=42,delayed,furniture,501 - 1000 DM,4 - 7 yrs,4,other,own,2,No
> 200 DM,<=12,critical,car (new),< 100 DM,> 7 yrs,4,real estate,own,2,No
< 0 DM,<=27,critical,business,101 - 500 DM,4 - 7 yrs,1,real estate,own,2,No
unknown,<=15,repaid,domestic appliances,unknown,0 - 1 yrs,1,real estate,own,1,No
< 0 DM,<=12,repaid,furniture,< 100 DM,1 - 4 yrs,2,building society savings,own,1,No
1 - 200 DM,<=12,critical,car (new),> 1000 DM,1 - 4 yrs,4,other,own,2,No
< 0 DM,<=22,fully repaid this bank,radio/tv,< 100 DM,0 - 1 yrs,4,unknown/none,for free,1,No
unknown,<=42,repaid,radio/tv,< 100 DM,> 7 yrs,2,other,own,1,No
< 0 DM,<=12,repaid,car (new),< 100 DM,0 - 1 yrs,2,unknown/none,for free,1,Yes
